endereco_mac,nome_usuario,percentual_uso_cpu,frequencia_cpu_atual_mhz,frequencia_cpu_minima_mhz,frequencia_cpu_maxima_mhz,memoria_total_bytes,memoria_disponivel_bytes,percentual_uso_ram,swap_total_bytes,swap_usado_bytes,swap_livre_bytes,swap_entrada_bytes,swap_saida_bytes,percentual_uso_swap,disco_total_bytes,disco_usado_bytes,disco_livre_bytes,percentual_uso_disco,taxa_leitura_disco_bytes_por_segundo,taxa_escrita_disco_bytes_por_segundo,latencia_ping_ms,taxa_download_rede_bytes_por_segundo,taxa_upload_rede_bytes_por_segundo,processos,data_hora_iso
94:52:f3:bd:62:d5,pholi,9.1,3600.0,0.0,3600.0,25633431552,17800511488,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553912532992,445250367488,55.4,0,45056,13,3259,2092,[],2026-04-16T19:42:59.146653
94:52:f3:bd:62:d5,pholi,4.0,3600.0,0.0,3600.0,25633431552,17803603968,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,49152,362496,11,23141,43,[],2026-04-16T19:43:01.466387
94:52:f3:bd:62:d5,pholi,2.2,3600.0,0.0,3600.0,25633431552,17804197888,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,36864,13,423,0,[],2026-04-16T19:43:03.817765
94:52:f3:bd:62:d5,pholi,3.6,3600.0,0.0,3600.0,25633431552,17803300864,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,10240,13,423,0,[],2026-04-16T19:43:06.133562
94:52:f3:bd:62:d5,pholi,2.3,3600.0,0.0,3600.0,25633431552,17808445440,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,12288,12,560,73,[],2026-04-16T19:43:08.485732
94:52:f3:bd:62:d5,pholi,2.8,3600.0,0.0,3600.0,25633431552,17805959168,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,8192,28672,13,706,0,[],2026-04-16T19:43:10.858201
94:52:f3:bd:62:d5,pholi,5.7,3600.0,0.0,3600.0,25633431552,17799651328,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,28672,11,705,37,[],2026-04-16T19:43:13.182902
94:52:f3:bd:62:d5,pholi,5.5,3600.0,0.0,3600.0,25633431552,17802821632,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,43008,13,423,0,[],2026-04-16T19:43:15.508059
94:52:f3:bd:62:d5,pholi,4.7,3600.0,0.0,3600.0,25633431552,17796681728,30.6,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,22528,22528,12,453,23,[],2026-04-16T19:43:17.838943
94:52:f3:bd:62:d5,pholi,5.1,3600.0,0.0,3600.0,25633431552,17811709952,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912537088,445250363392,55.4,0,38912,11,5898,0,[],2026-04-16T19:43:20.226554
94:52:f3:bd:62:d5,pholi,8.5,3600.0,0.0,3600.0,25633431552,17814163456,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912541184,445250359296,55.4,0,81920,11,1293,2207,[],2026-04-16T19:43:22.619516
94:52:f3:bd:62:d5,pholi,9.7,3600.0,0.0,3600.0,25633431552,17812357120,30.5,1811939328,0,1811939328,0,0,0.0,999162900480,553912541184,445250359296,55.4,0,83968,12,3004,3028,[],2026-04-16T19:43:24.962617
